keys,en
STANDARD_REACTION,*mumbles*
REACTION_STR_HIGH_1,Behold the muscle-bound marvel before us!
REACTION_STR_HIGH_2,A walking testament to brute force and power.
REACTION_STR_HIGH_3,"Strong as an ox, ready to conquer all!"
REACTION_STR_HIGH_4,"A true juggernaut, a force to be reckoned with."
REACTION_STR_HIGH_5,The ground trembles beneath your mighty steps.
REACTION_STR_LOW_1,Who invited the feeble twig to the party?
REACTION_STR_LOW_2,Muscle deficiency alert! Better watch out for gusts.
REACTION_STR_LOW_3,Are you sure you can even lift your own sword?
REACTION_STR_LOW_4,Strength training might be a novel concept for you.
REACTION_STR_LOW_5,"The breeze might just blow you away, my friend."
REACTION_DEX_HIGH_1,"Graceful as a dancer, a master of precision."
REACTION_DEX_HIGH_2,"Swift and agile, a true acrobat of finesse."
REACTION_DEX_HIGH_3,"Eyes sharp as an eagle, catching every detail."
REACTION_DEX_HIGH_4,"Stealthy as a shadow, a silent and deadly rogue."
REACTION_DEX_HIGH_5,"A nimble spirit, moving like a fleeting breeze."
REACTION_DEX_LOW_1,Have you considered participating in a slow-motion race?
REACTION_DEX_LOW_2,Your movements... Let's call them 'distinctive.'
REACTION_DEX_LOW_3,"Stealth is overrated, who needs to be unnoticed?"
REACTION_DEX_LOW_4,Precision? Who needs it when you have your charm?
REACTION_DEX_LOW_5,"I've seen turtles outpace you; impressive, really."
REACTION_CON_HIGH_1,"An indomitable spirit, resilient to all challenges."
REACTION_CON_HIGH_2,"Endurance personified, a fortress of vitality."
REACTION_CON_HIGH_3,"Vitality flows within, a bastion of health."
REACTION_CON_HIGH_4,"Unyielding fortitude, a true stalwart hero."
REACTION_CON_HIGH_5,Your constitution radiates with robust energy.
REACTION_CON_LOW_1,"Sickly and frail, a gentle breeze might topple you."
REACTION_CON_LOW_2,Have you considered taking vitamins or something?
REACTION_CON_LOW_3,"Health is overrated, right? Embrace the frailty!"
REACTION_CON_LOW_4,"A walking embodiment of vulnerability, intriguing."
REACTION_CON_LOW_5,Adversity's whisper is enough to make you falter.
REACTION_INT_HIGH_1,"A brilliant mind, a beacon of intelligence."
REACTION_INT_HIGH_2,"Wisdom flows through you, a sage among us."
REACTION_INT_HIGH_3,"Infinite knowledge, a true scholar's grace."
REACTION_INT_HIGH_4,"Clever and astute, a master of intellect."
REACTION_INT_HIGH_5,"Your intelligence shines, a guiding star."
REACTION_INT_LOW_1,"Simple charm, because who needs complex thoughts?"
REACTION_INT_LOW_2,"Innocence, thy name is you. Who needs wisdom?"
REACTION_INT_LOW_3,"A gentle mind, blissfully unaware of complexities."
REACTION_INT_LOW_4,"Simple and pure, like a blank slate of wisdom."
REACTION_INT_LOW_5,"Modesty in intellect, a commendable feat... I guess."
REACTION_WIS_HIGH_1,"Profound insight, a seer in our midst."
REACTION_WIS_HIGH_2,"Deep wisdom, as ancient as the trees."
REACTION_WIS_HIGH_3,"Spiritual resonance, a beacon of enlightenment."
REACTION_WIS_HIGH_4,"Intuitive guide, your path is well-guided."
REACTION_WIS_HIGH_5,"An enlightened soul, in tune with the cosmos."
REACTION_WIS_LOW_1,"A carefree spirit, innocence in every step."
REACTION_WIS_LOW_2,"Unburdened by deep thoughts, a joyful wanderer."
REACTION_WIS_LOW_3,"A light-hearted approach, wisdom in simplicity."
REACTION_WIS_LOW_4,"Naivety with charm, your journey is pure."
REACTION_WIS_LOW_5,"A free spirit, unchained by heavy thoughts."
REACTION_CHA_HIGH_1,"Charismatic aura, a beacon of charm."
REACTION_CHA_HIGH_2,"Magnetic presence, a true social adept."
REACTION_CHA_HIGH_3,"Charm personified, the room lights up."
REACTION_CHA_HIGH_4,"Inspirational charisma, a leader among us."
REACTION_CHA_HIGH_5,"Your charm enchants, a true social butterfly."
REACTION_CHA_LOW_1,"A quiet demeanor, strength in solitude."
REACTION_CHA_LOW_2,"Reserved grace, a silent observer of life."
REACTION_CHA_LOW_3,"Modesty suits you, a beacon of humility."
REACTION_CHA_LOW_4,"A subtle presence, strength in quietude."
REACTION_CHA_LOW_5,"In your silence, there's a powerful calm."
REACTION_STR_HIGH_DEX_LOW_1,"Mighty, but fumbling."
REACTION_STR_HIGH_DEX_LOW_2,"Brawny, yet uncoordinated."
REACTION_STR_HIGH_DEX_LOW_3,"Powerhouse, stumbling awkwardly."
REACTION_STR_HIGH_DEX_LOW_4,"Robust, but lacking finesse."
REACTION_STR_HIGH_DEX_LOW_5,"Muscular, yet graceless."
REACTION_DEX_HIGH_STR_LOW_1,"Agile, but feeble."
REACTION_DEX_HIGH_STR_LOW_2,"Nimble, yet weak."
REACTION_DEX_HIGH_STR_LOW_3,"Dexterous, with little strength."
REACTION_DEX_HIGH_STR_LOW_4,"Graceful, but easily overpowered."
REACTION_DEX_HIGH_STR_LOW_5,"Lithe, yet lacking muscle."
REACTION_STR_HIGH_CON_LOW_1,"Strong, yet vulnerable."
REACTION_STR_HIGH_CON_LOW_2,"Sturdy, but susceptible."
REACTION_STR_HIGH_CON_LOW_3,"Mighty, yet fragile."
REACTION_STR_HIGH_CON_LOW_4,"Powerful, yet delicate."
REACTION_STR_HIGH_CON_LOW_5,"Potent, but easily hurt."
REACTION_CON_HIGH_STR_LOW_1,"Resilient, but feeble."
REACTION_CON_HIGH_STR_LOW_2,"Tough, yet weak."
REACTION_CON_HIGH_STR_LOW_3,"Durable, but lacking strength."
REACTION_CON_HIGH_STR_LOW_4,"Stalwart, but easily overpowered."
REACTION_CON_HIGH_STR_LOW_5,"Hardy, yet lacking muscle."
REACTION_STR_HIGH_INT_LOW_1,"Powerful, yet clueless."
REACTION_STR_HIGH_INT_LOW_2,"Mighty, yet unintelligent."
REACTION_STR_HIGH_INT_LOW_3,"Strong, but lacking intellect."
REACTION_STR_HIGH_INT_LOW_4,"Potent, yet mentally feeble."
REACTION_STR_HIGH_INT_LOW_5,"Brawny, yet lacking wisdom."
REACTION_INT_HIGH_STR_LOW_1,"Intellectual, but weak."
REACTION_INT_HIGH_STR_LOW_2,"Clever, yet physically feeble."
REACTION_INT_HIGH_STR_LOW_3,"Wise, but lacking in strength."
REACTION_INT_HIGH_STR_LOW_4,"Smart, yet easily overpowered."
REACTION_INT_HIGH_STR_LOW_5,"Sage-like, yet lacking muscle."
REACTION_STR_HIGH_WIS_LOW_1,"Mighty, yet unaware."
REACTION_STR_HIGH_WIS_LOW_2,"Strong, but lacking perception."
REACTION_STR_HIGH_WIS_LOW_3,"Potent, yet oblivious."
REACTION_STR_HIGH_WIS_LOW_4,"Brawny, but lacking insight."
REACTION_STR_HIGH_WIS_LOW_5,"Powerful, yet not wise."
REACTION_WIS_HIGH_STR_LOW_1,"Perceptive, but feeble."
REACTION_WIS_HIGH_STR_LOW_2,"Insightful, yet physically weak."
REACTION_WIS_HIGH_STR_LOW_3,"Wise, but lacking in strength."
REACTION_WIS_HIGH_STR_LOW_4,"Observant, yet easily overpowered."
REACTION_WIS_HIGH_STR_LOW_5,"Intuitive, yet lacking muscle."
REACTION_STR_HIGH_CHA_LOW_1,"Potent, yet uncharismatic."
REACTION_STR_HIGH_CHA_LOW_2,"Strong, but lacking charm."
REACTION_STR_HIGH_CHA_LOW_3,"Mighty, yet unappealing."
REACTION_STR_HIGH_CHA_LOW_4,"Robust, but socially awkward."
REACTION_STR_HIGH_CHA_LOW_5,"Powerful, yet charmless."
REACTION_CHA_HIGH_STR_LOW_1,"Charismatic, but feeble."
REACTION_CHA_HIGH_STR_LOW_2,"Alluring, yet physically weak."
REACTION_CHA_HIGH_STR_LOW_3,"Charming, but lacking strength."
REACTION_CHA_HIGH_STR_LOW_4,"Persuasive, yet easily overpowered."
REACTION_CHA_HIGH_STR_LOW_5,"Enchanting, yet lacking muscle."
REACTION_DEX_LOW_STR_LOW_1,Clumsy and weak.
REACTION_DEX_LOW_STR_LOW_2,"Awkward, yet lacking strength."
REACTION_DEX_LOW_STR_LOW_3,"Inept, but not powerful."
REACTION_DEX_LOW_STR_LOW_4,"Graceless, yet not strong."
REACTION_DEX_LOW_STR_LOW_5,Uncoordinated and feeble.
REACTION_DEX_HIGH_STR_LOW_1,"Nimble, yet weak."
REACTION_DEX_HIGH_STR_LOW_2,"Dexterous, but physically feeble."
REACTION_DEX_HIGH_STR_LOW_3,"Agile, yet lacking strength."
REACTION_DEX_HIGH_STR_LOW_4,"Graceful, yet easily overpowered."
REACTION_DEX_HIGH_STR_LOW_5,"Lithe, yet lacking muscle."
REACTION_CON_LOW_STR_LOW_1,Vulnerable and weak.
REACTION_CON_LOW_STR_LOW_2,"Fragile, yet not strong."
REACTION_CON_LOW_STR_LOW_3,"Susceptible, but not powerful."
REACTION_CON_LOW_STR_LOW_4,"Delicate, yet lacking strength."
REACTION_CON_LOW_STR_LOW_5,Frail and feeble.
REACTION_CON_HIGH_STR_LOW_1,"Resilient, but feeble."
REACTION_CON_HIGH_STR_LOW_2,"Tough, yet weak."
REACTION_CON_HIGH_STR_LOW_3,"Durable, but lacking strength."
REACTION_CON_HIGH_STR_LOW_4,"Stalwart, but easily overpowered."
REACTION_CON_HIGH_STR_LOW_5,"Hardy, yet lacking muscle."
REACTION_INT_LOW_STR_LOW_1,Unintelligent and weak.
REACTION_INT_LOW_STR_LOW_2,Dull-witted and feeble.
REACTION_INT_LOW_STR_LOW_3,"Dim, yet physically fragile."
REACTION_INT_LOW_STR_LOW_4,Intellectually challenged and weak.
REACTION_INT_LOW_STR_LOW_5,Simple-minded and lacking muscle.
REACTION_INT_HIGH_STR_LOW_1,"Intellectual, but weak."
REACTION_INT_HIGH_STR_LOW_2,"Clever, yet physically feeble."
REACTION_INT_HIGH_STR_LOW_3,"Wise, but lacking in strength."
REACTION_INT_HIGH_STR_LOW_4,"Smart, yet easily overpowered."
REACTION_INT_HIGH_STR_LOW_5,"Sage-like, yet lacking muscle."
REACTION_WIS_LOW_STR_LOW_1,Unwise and physically feeble.
REACTION_WIS_LOW_STR_LOW_2,"Foolish, yet lacking in strength."
REACTION_WIS_LOW_STR_LOW_3,Thoughtless and weak.
REACTION_WIS_LOW_STR_LOW_4,"Imprudent, yet easily overpowered."
REACTION_WIS_LOW_STR_LOW_5,"Ignorant, yet lacking muscle."
REACTION_WIS_HIGH_STR_LOW_1,"Perceptive, but feeble."
REACTION_WIS_HIGH_STR_LOW_2,"Insightful, yet physically weak."
REACTION_WIS_HIGH_STR_LOW_3,"Wise, but lacking in strength."
REACTION_WIS_HIGH_STR_LOW_4,"Observant, yet easily overpowered."
REACTION_WIS_HIGH_STR_LOW_5,"Intuitive, yet lacking muscle."
REACTION_CHA_LOW_STR_LOW_1,"Uncharismatic, weakling."
REACTION_CHA_LOW_STR_LOW_2,Socially awkward and feeble.
REACTION_CHA_LOW_STR_LOW_3,"Unappealing, physically weak."
REACTION_CHA_LOW_STR_LOW_4,"Charmless, yet easily overpowered."
REACTION_CHA_LOW_STR_LOW_5,"Lackluster charisma, lacking muscle."
REACTION_CHA_HIGH_STR_LOW_1,"Charismatic, but feeble."
REACTION_CHA_HIGH_STR_LOW_2,"Alluring, yet physically weak."
REACTION_CHA_HIGH_STR_LOW_3,"Charming, but lacking strength."
REACTION_CHA_HIGH_STR_LOW_4,"Persuasive, yet easily overpowered."
REACTION_CHA_HIGH_STR_LOW_5,"Enchanting, yet lacking muscle."
REACTION_DEX_HIGH_CON_LOW_1,"Nimble, yet resilient."
REACTION_DEX_HIGH_CON_LOW_2,"Agile, and tough."
REACTION_DEX_HIGH_CON_LOW_3,"Dexterous, yet durable."
REACTION_DEX_HIGH_CON_LOW_4,"Graceful, and stalwart."
REACTION_DEX_HIGH_CON_LOW_5,"Lithe, yet hardy."
REACTION_CON_HIGH_DEX_LOW_1,"Resilient, yet clumsy."
REACTION_CON_HIGH_DEX_LOW_2,"Tough, but uncoordinated."
REACTION_CON_HIGH_DEX_LOW_3,"Durable, yet awkward."
REACTION_CON_HIGH_DEX_LOW_4,"Stalwart, stumbling."
REACTION_CON_HIGH_DEX_LOW_5,"Hardy, yet graceless."
REACTION_DEX_HIGH_INT_LOW_1,"Nimble, yet dim-witted."
REACTION_DEX_HIGH_INT_LOW_2,"Dexterous, yet intellectually challenged."
REACTION_DEX_HIGH_INT_LOW_3,"Agile, but lacking in intellect."
REACTION_DEX_HIGH_INT_LOW_4,"Graceful, yet mentally feeble."
REACTION_DEX_HIGH_INT_LOW_5,"Lithe, yet simple-minded."
REACTION_INT_HIGH_DEX_LOW_1,"Intellectual, yet clumsy."
REACTION_INT_HIGH_DEX_LOW_2,"Clever, but uncoordinated."
REACTION_INT_HIGH_DEX_LOW_3,"Wise, yet awkward."
REACTION_INT_HIGH_DEX_LOW_4,"Smart, stumbling."
REACTION_INT_HIGH_DEX_LOW_5,"Sage-like, yet graceless."
REACTION_DEX_HIGH_WIS_LOW_1,"Agile, yet oblivious."
REACTION_DEX_HIGH_WIS_LOW_2,"Nimble, but lacking insight."
